link_num,string,link,date,date_sent,clicks,Value Only
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6,https://activategood.org/opportunity/2544#tab-what
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6,https://activategood.org/nonprofit/262
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6,https://activategood.org/opportunity/4445#tab-what
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6,https://activategood.org/opportunity/3106#tab-what
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6,https://activategood.org/opportunity/4508
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6,https://activategood.org/spreading-good-junior-youth-group-of-tryon-pines/
17,Beautify Durham School,https://activategood.org/opportunity/4445#tab-what,04/03/19,04/03/19 13:45:34,6,https://activategood.org/improve-your-health-by-volunteering/
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9,https://activategood.org/nvw2019
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9,https://activategood.org/teenschangetheworld2019/
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9,https://activategood.org/teenschangetheworld2019/support/
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9,https://activategood.org/opportunity/614#tab-what
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9,https://activategood.org/opportunity/4447#tab-what
