"date","address","link_num","words_in_link","is_image","image_width","bolded","font_size","font_color","dup","dup_after_first","image_assoc","link_char_flag","date_sent","clicks","link_click_flag","string","doc_prop","html_flag","color_name","color_name_rgb"
"03/04/19","https://activategood.org/",20,"Activate Good",FALSE,NA,FALSE,21,"(89,89,89)",TRUE,TRUE,TRUE,1,"03/04/19 07:03:41",4,1,"Activate Good",0.769230769230769,1,"Mortar","Mortar (89,89,89)"
"03/04/19","https://activategood.org/donate",21,"Support our work and help our impact grow",FALSE,NA,FALSE,20,"(255,255,255)",FALSE,FALSE,FALSE,1,NA,NA,NA,"Support",0.807692307692308,1,"White","White (255,255,255)"
"03/04/19","https://activategood.org/nvw2019",2,"",TRUE,570,FALSE,NA,NA,TRUE,FALSE,TRUE,1,"03/04/19 07:03:41",94,1,NA,NA,NA,NA,"NA NA"
"03/04/19","https://activategood.org/nvw2019",3,"National Volunteer Week",FALSE,NA,TRUE,18,"(255,255,255)",TRUE,TRUE,TRUE,1,"03/04/19 07:03:41",94,1,"This National Volunteer Week April 713",0.0641025641025641,1,"White","White (255,255,255)"
"03/04/19","https://activategood.org/nvw2019",4,"View Current Volunteer Needs and Sign Up",FALSE,NA,FALSE,20,"(255,255,255)",TRUE,TRUE,TRUE,1,"03/04/19 07:03:41",94,1,"View Current Volunteer Needs Sign Up",0.0961538461538462,1,"White","White (255,255,255)"
"03/04/19","https://activategood.org/opportunity/2327#tab-what",11,"Medical Interpreter",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"03/04/19 07:03:41",1,1,"Medical Interpreter",0.320512820512821,1,"Teal","Teal (0,109,131)"
"03/04/19","https://activategood.org/opportunity/2447#tab-details",17,"Tree Giveaway at NC Museum of Natural Sciences",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"03/04/19 07:03:41",18,1,"Tree Giveaway NC Museum Natural Sciences",0.634615384615385,1,"Teal","Teal (0,109,131)"
"03/04/19","https://activategood.org/opportunity/2656#tab-what",13,"Robotics Demo and Clinic",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"03/04/19 07:03:41",9,1,"Robotics Demo Clinic",0.41025641025641,1,"Teal","Teal (0,109,131)"
"03/04/19","https://activategood.org/opportunity/3329#tab-what",16,"Community Service at the Farm",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"03/04/19 07:03:41",14,1,"Community Service Farm",0.564102564102564,1,"Teal","Teal (0,109,131)"
"03/04/19","https://activategood.org/opportunity/4054#tab-what",12,"Pro-Bono Attorne",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,NA,NA,NA,"ProBono Attorney",0.365384615384615,1,"Teal","Teal (0,109,131)"
"03/04/19","https://activategood.org/opportunity/4218#tab-what",14,"Silent Auction Assistance",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"03/04/19 07:03:41",8,1,"Silent Auction Assistance",0.480769230769231,1,"Teal","Teal (0,109,131)"
"03/04/19","https://activategood.org/opportunity/4365#tab-what",15,"Backpack Buddies Packers",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"03/04/19 07:03:41",29,1,"Backpack Buddies Packers",0.519230769230769,1,"Teal","Teal (0,109,131)"
"03/04/19","https://activategood.org/opportunity/4405#tab-what",19,"Trail Days at Ledge Creek",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"03/04/19 07:03:41",6,1,"Trail Days Ledge Creek",0.724358974358974,1,"Teal","Teal (0,109,131)"
"03/04/19","https://activategood.org/opportunity/4408#tab-what",18,"Raleigh St. Patrick's Day Parade",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"03/04/19 07:03:41",13,1,"Raleigh St Patrick Day Parade",0.67948717948718,1,"Teal","Teal (0,109,131)"
"03/04/19","https://activategood.org/teenschangetheworld2019/",5,"",TRUE,199,FALSE,NA,NA,TRUE,FALSE,TRUE,1,"03/04/19 07:03:41",47,1,NA,NA,NA,NA,"NA NA"
"03/04/19","https://activategood.org/teenschangetheworld2019/",6,"",TRUE,199,FALSE,NA,NA,TRUE,TRUE,TRUE,1,"03/04/19 07:03:41",47,1,NA,NA,NA,NA,"NA NA"
"03/04/19","https://activategood.org/teenschangetheworld2019/",7,"",TRUE,199,FALSE,NA,NA,TRUE,TRUE,TRUE,1,"03/04/19 07:03:41",47,1,NA,NA,NA,NA,"NA NA"
"03/04/19","https://activategood.org/teenschangetheworld2019/",8,"Teens Change the World! Summer Program",FALSE,NA,TRUE,18,"(255,255,255)",TRUE,TRUE,TRUE,1,"03/04/19 07:03:41",47,1,"The Teens Change World Summer Program",0.185897435897436,1,"White","White (255,255,255)"
